method,avg_precision@k,avg_recall@k,avg_mrr,avg_retrieval_time,total_input_tokens
dense,0.13801169590643275,0.6900584795321637,0.48846653671215073,0.3702469016143918,1026
bm25,0.12787524366471734,0.6393762183235867,0.4312540610786225,0.0012067391393709834,1026
hybrid_rrf30,0.13645224171539957,0.682261208576998,0.48853151397011046,0.43004000070731774,1026
hybrid_rrf60,0.13684210526315788,0.6842105263157895,0.48885640025990906,0.502164239771882,1026
rerank_dense,0.13684210526315788,0.6842105263157895,0.4568875893437297,1.7063765149367482,1026
rerank_bm25,0.12943469785575049,0.6471734892787524,0.4468810916179337,1.3783724716997054,1026
qrewrite_dense_exp1,0.1302144249512671,0.6510721247563352,0.4425601039636127,3.6021669240955254,1026
qrewrite_dense_exp3,0.1302144249512671,0.6510721247563352,0.4425601039636127,2.3910917227263573,1026
qrewrite_dense_exp5,0.1302144249512671,0.6510721247563352,0.4425601039636127,2.109391036786531,1026
qrewrite_bm25_exp1,0.1255360623781676,0.6276803118908382,0.41985055230669266,1.6738225395916497,1026
qrewrite_bm25_exp3,0.1255360623781676,0.6276803118908382,0.41985055230669266,1.7130334265747962,1026
qrewrite_bm25_exp5,0.1255360623781676,0.6276803118908382,0.41985055230669266,1.6959545156876712,1026
